"","State","date","price"
"351","Delaware","2000-07-31",99396.3396367289
"352","South Dakota","2000-07-31",NA
"353","North Dakota","2000-07-31",NA
"354","Alaska","2000-07-31",96935.4907632628
"355","District of Columbia","2000-07-31",152912.419949985
"356","Vermont","2000-07-31",85031.5613604181
"357","Wyoming","2000-07-31",NA
"358","California","2000-08-31",149552.91123694
"359","Texas","2000-08-31",57884.2224570023
"360","Florida","2000-08-31",75643.3757960805
"361","New York","2000-08-31",99968.2041027044
"362","Pennsylvania","2000-08-31",65781.7205374195
"363","Illinois","2000-08-31",79444.2272428018
"364","Ohio","2000-08-31",65249.0425652845
"365","Georgia","2000-08-31",68130.8810608757
"366","North Carolina","2000-08-31",77419.3669783644
"367","Michigan","2000-08-31",73482.0860983581
"368","New Jersey","2000-08-31",119249.588982932
"369","Virginia","2000-08-31",76710.6782907861
"370","Washington","2000-08-31",128576.304434366
"371","Arizona","2000-08-31",106675.207744573
"372","Massachusetts","2000-08-31",153226.299315658
"373","Tennessee","2000-08-31",67438.1402913474
"374","Indiana","2000-08-31",55743.0759502375
"375","Maryland","2000-08-31",94982.0782139923
"376","Missouri","2000-08-31",56298.9754905248
"377","Wisconsin","2000-08-31",85604.2838778656
"378","Colorado","2000-08-31",128763.829888453
"379","Minnesota","2000-08-31",98294.1764778725
"380","South Carolina","2000-08-31",74887.6292260015
"381","Alabama","2000-08-31",54803.0135435039
"382","Louisiana","2000-08-31",65635.7514343807
"383","Kentucky","2000-08-31",56634.7987013277
"384","Oregon","2000-08-31",106057.628962729
"385","Oklahoma","2000-08-31",32350.7727702427
"386","Connecticut","2000-08-31",115416.737237527
"387","Utah","2000-08-31",119267.611268781
"388","Iowa","2000-08-31",64632.0205746051
"389","Nevada","2000-08-31",110339.875572818
"390","Arkansas","2000-08-31",50104.1466504326
"391","Mississippi","2000-08-31",NA
"392","Kansas","2000-08-31",46395.1332047882
"393","New Mexico","2000-08-31",NA
"394","Nebraska","2000-08-31",67582.107509019
"395","Idaho","2000-08-31",79512.9443720163
"396","West Virginia","2000-08-31",38250.058005983
"397","Hawaii","2000-08-31",146327.279637165
"398","New Hampshire","2000-08-31",101122.318569632
"399","Maine","2000-08-31",86011.3685830708
"400","Rhode Island","2000-08-31",106935.97109737
"401","Montana","2000-08-31",NA
"402","Delaware","2000-08-31",99863.3305794607
"403","South Dakota","2000-08-31",NA
"404","North Dakota","2000-08-31",NA
"405","Alaska","2000-08-31",96831.2039208445
"406","District of Columbia","2000-08-31",154207.776799885
"407","Vermont","2000-08-31",85459.5791666566
"408","Wyoming","2000-08-31",NA
"409","California","2000-09-30",151444.157309546
"410","Texas","2000-09-30",57997.5535888692
"411","Florida","2000-09-30",76070.1977348127
"412","New York","2000-09-30",100279.84344674
"413","Pennsylvania","2000-09-30",66046.2847443534
"414","Illinois","2000-09-30",80190.3396781811
"415","Ohio","2000-09-30",65559.7245593149
"416","Georgia","2000-09-30",68684.7209993172
"417","North Carolina","2000-09-30",77729.5589781174
"418","Michigan","2000-09-30",73972.7230396286
"419","New Jersey","2000-09-30",120524.825897578
"420","Virginia","2000-09-30",77237.5049547118
"421","Washington","2000-09-30",129197.68402844
"422","Arizona","2000-09-30",107145.154345596
"423","Massachusetts","2000-09-30",155383.070648115
"424","Tennessee","2000-09-30",67657.0978295189
"425","Indiana","2000-09-30",55810.5433097894
"426","Maryland","2000-09-30",95410.0565332762
"427","Missouri","2000-09-30",56670.2586485249
"428","Wisconsin","2000-09-30",86134.0725916319
"429","Colorado","2000-09-30",130341.248387405
"430","Minnesota","2000-09-30",99778.5317317162
"431","South Carolina","2000-09-30",75274.2885238684
"432","Alabama","2000-09-30",55038.8337625767
