"","State","date","price"
"498","West Virginia","2000-10-31",62055.2875579141
"499","Hawaii","2000-10-31",215783.642993149
"500","New Hampshire","2000-10-31",145854.976851358
"501","Maine","2000-10-31",101699.907355487
"502","Rhode Island","2000-10-31",140797.144942166
"503","Montana","2000-10-31",NA
"504","Delaware","2000-10-31",142629.818226973
"505","South Dakota","2000-10-31",93941.8556125163
"506","North Dakota","2000-10-31",NA
"507","Alaska","2000-10-31",129765.439571069
"508","District of Columbia","2000-10-31",181331.269544947
"509","Vermont","2000-10-31",95611.621505734
"510","Wyoming","2000-10-31",NA
"511","California","2000-11-30",212478.494780208
"512","Texas","2000-11-30",108650.280517805
"513","Florida","2000-11-30",116281.136586191
"514","New York","2000-11-30",135271.219986116
"515","Pennsylvania","2000-11-30",94534.0105284682
"516","Illinois","2000-11-30",122959.431471597
"517","Ohio","2000-11-30",103489.237048827
"518","Georgia","2000-11-30",123164.612554674
"519","North Carolina","2000-11-30",125872.847898539
"520","Michigan","2000-11-30",107130.10495399
"521","New Jersey","2000-11-30",170827.95725571
"522","Virginia","2000-11-30",125523.300023242
"523","Washington","2000-11-30",183687.207579714
"524","Arizona","2000-11-30",139476.875150302
"525","Massachusetts","2000-11-30",218839.028502231
"526","Tennessee","2000-11-30",98452.3619214544
"527","Indiana","2000-11-30",95029.2602459348
"528","Maryland","2000-11-30",150868.401331067
"529","Missouri","2000-11-30",92275.928549514
"530","Wisconsin","2000-11-30",112447.930670024
"531","Colorado","2000-11-30",197090.375084967
"532","Minnesota","2000-11-30",129514.034519968
"533","South Carolina","2000-11-30",107415.809831756
"534","Alabama","2000-11-30",81619.828062512
"535","Louisiana","2000-11-30",89955.4916138292
"536","Kentucky","2000-11-30",83607.7861259317
"537","Oregon","2000-11-30",154719.478400156
"538","Oklahoma","2000-11-30",75242.9158664719
"539","Connecticut","2000-11-30",182182.254110207
"540","Utah","2000-11-30",177152.249675589
"541","Iowa","2000-11-30",81259.7512029606
"542","Nevada","2000-11-30",170026.883176715
"543","Arkansas","2000-11-30",72862.3352976282
"544","Mississippi","2000-11-30",72079.0870808708
"545","Kansas","2000-11-30",76196.7961157633
"546","New Mexico","2000-11-30",NA
"547","Nebraska","2000-11-30",111978.104237576
"548","Idaho","2000-11-30",121907.454431877
"549","West Virginia","2000-11-30",62437.3825439665
"550","Hawaii","2000-11-30",216650.806404905
"551","New Hampshire","2000-11-30",147670.327556297
"552","Maine","2000-11-30",102564.964367327
"553","Rhode Island","2000-11-30",141816.799336188
"554","Montana","2000-11-30",NA
"555","Delaware","2000-11-30",143391.082901245
"556","South Dakota","2000-11-30",93980.957664618
"557","North Dakota","2000-11-30",NA
"558","Alaska","2000-11-30",130144.347075128
"559","District of Columbia","2000-11-30",181374.901222321
"560","Vermont","2000-11-30",96313.7402130602
"561","Wyoming","2000-11-30",NA
"562","California","2000-12-31",214851.203066263
"563","Texas","2000-12-31",109006.220811873
"564","Florida","2000-12-31",117031.871587831
"565","New York","2000-12-31",136271.018270925
"566","Pennsylvania","2000-12-31",94975.6931620715
"567","Illinois","2000-12-31",123747.138346468
"568","Ohio","2000-12-31",103928.815772049
"569","Georgia","2000-12-31",124055.463104358
"570","North Carolina","2000-12-31",126437.158217269
"571","Michigan","2000-12-31",107895.748118381
"572","New Jersey","2000-12-31",172164.546668587
"573","Virginia","2000-12-31",126394.132998726
"574","Washington","2000-12-31",184495.389617412
"575","Arizona","2000-12-31",140114.988849271
"576","Massachusetts","2000-12-31",221780.601399351
"577","Tennessee","2000-12-31",98815.0460056346
"578","Indiana","2000-12-31",95649.9378618414
"579","Maryland","2000-12-31",151693.99459291
"580","Missouri","2000-12-31",92921.2015461269
"581","Wisconsin","2000-12-31",112990.674998575
"582","Colorado","2000-12-31",199102.374313828
"583","Minnesota","2000-12-31",131036.405543984
"584","South Carolina","2000-12-31",107833.431295478
"585","Alabama","2000-12-31",81983.4925526486
"586","Louisiana","2000-12-31",90460.7512074609
"587","Kentucky","2000-12-31",84028.9508371723
